common_name,scientific_name,category
Aaron'S Skipper,Poanes aaroni,Butterflies and Skippers
Aba'S Long-Horned Caddisfly,Triaenodes aba,Caddisflies
Abbott'S Sphinx Moth,Sphecodina abbottii,Sphinx Moths
Abbreviated Button Slug Moth,Tortricidia flexuosa,Other Moths
Abrupt Digger Bee,Anthophora abrupta,Digger Bees
Acadian Flycatcher,Empidonax virescens,Birds
Acadimicrocaddisfly,Hydroptila acadia,Caddisflies
Achemon Sphinx,Eumorpha achemon,Sphinx Moths
Acid Giant Caddisfly,Oligostomis ocelligera,Caddisflies
Acornshell,Epioblasma haysiana,Freshwater Mussels
Acute Bladder Snail,Physella acuta,Freshwater Snails
Adam Peaclam,Pisidium adamsi,Other Molluscs
Aerial Brown Moth,Ozarba aeria,Other Moths
Ajax Microcaddisfly,Hydroptila ajax,Caddisflies
Alabamstripetail,Isoperla davisi,Stoneflies
Alabamthreetooth,Triodopsis alabamensis,Terrestrial Snails
Alder Flycatcher,Empidonax alnorum,Birds
Alewife,Alosa pseudoharengus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Alewife Floater,Utterbackiana implicata,Freshwater Mussels
Alfalfleafcutter Bee,Megachile rotundata,Leafcutter Bees
Algonquin Park Microcaddisfly,Hydroptila quinola,Caddisflies
Alleghanian Spotted Skunk,Spilogale putorius,Mammals
Alleghany County Cave Amphipod,Stygobromus hoffmani,Amphipods
Allegheny Crayfish,Faxonius obscurus,Crayfishes
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Amphibians
Allegheny Mountain Mudbug,Cambarus fetzneri,Crayfishes
Allegheny Pearl Dace,Margariscus margarita,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Allegheny Woodrat,Neotoma magister,Mammals
Aluring Schinimoth,Schinia siren,Other Moths
Amber Glass Snail,Nesovitrea electrina,Terrestrial Snails
American Avocet,Recurvirostra americana,Birds
American Barn Owl,Tyto furcata,Birds
American Beaver,Castor canadensis,Mammals
American Bison,Bos bison,Mammals
American Bittern,Botaurus lentiginosus,Birds
American Bizarre Caddisfly,Lepidostoma americanum,Caddisflies
American Black Bear,Ursus americanus,Mammals
American Black Duck,Anas rubripes,Birds
American Box Turtle,Terrapene carolina,Turtles
American Brindle Moth,Lithomoia germana,Other Moths
American Brook Lamprey,Lethenteron appendix,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
American Bullfrog,Lithobates catesbeianus,Amphibians
American Bumble Bee,Bombus pensylvanicus,Bumble Bees
American Burying Beetle,Nicrophorus americanus,Other Beetles
American Comb-Lipped Caddisfly,Heteroplectron americanum,Caddisflies
American Coot,Fulica americana,Birds
American Crow,Corvus brachyrhynchos,Birds
American Cuckoo Nomad Bee,Epeolus americanus,Other Bees
American Eel,Anguilla rostrata,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
American Emerald,Cordulia shurtleffii,Dragonflies and Damselflies
American Golden-Plover,Pluvialis dominica,Birds
American Goldfinch,Spinus tristis,Birds
American Holly Azure,Celastrina idella,Butterflies and Skippers
American Kestrel,Falco sparverius,Birds
American Lady,Vanessa virginiensis,Butterflies and Skippers
American Lappet Moth,Phyllodesma americana,Other Moths
American Long-Horned Caddisfly,Leptocerus americanus,Caddisflies
American Mink,Neogale vison,Mammals
American Oystercatcher,Haematopus palliatus,Birds
American Pipit,Anthus rubescens,Birds
American Prong-Gilled Mayfly,Habrophlebiodes americana,Mayflies
American Redstart,Setophaga ruticilla,Birds
American Robin,Turdus migratorius,Birds
American Salmonfly,Pteronarcys dorsata,Stoneflies
American Shad,Alosa sapidissima,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
American Snout,Libytheana carinenta,Butterflies and Skippers
American Spring-Loving Caddisfly,Beraea fontana,Caddisflies
American Toad,Anaxyrus americanus,Amphibians
American Tree Sparrow,Spizelloides arborea,Birds
American Wigeon,Mareca americana,Birds
American Woodcock,Scolopax minor,Birds
An Andrenid Bee,Andrena fulvipennis,Other Bees
An Isopod,Caecidotea ornatus,Isopods
An Odontocerid Caddisfly,Psilotreta rossi,Caddisflies
An Oil-Collecting Bee,Macropis steironematis,Oil-collecting Bees
An Owlet Moth,Meropleon cosmion,Other Moths
An Oxyethiran Microcaddisfly,Oxyethira abacatia,Caddisflies
Anagramed Microcaddisfly,Mayatrichia ayama,Caddisflies
Anakeestneedlefly,Leuctra alexanderi,Stoneflies
Andromedunderwing,Catocala andromedae,Underwing Moths
Angelic Sweat Bee,Agapostemon angelicus,Striped Sweat Bees
Angle-Lined Prominent Moth,Clostera inclusa,Notodontid Moths
Angled Crayfish,Cambarus angularis,Crayfishes
Angler'S Prong-Gilled Mayfly,Neoleptophlebia adoptiva,Mayflies
Angular Disc Snail,Discus catskillensis,Terrestrial Snails
Angulate Snowfly,Paracapnia angulata,Stoneflies
Angulated Microcaddisfly,Dibusa angata,Caddisflies
Angulose Prominent,Peridea angulosa,Notodontid Moths
Angus' Underwing,Catocala angusi,Underwing Moths
Angus'S Datana,Datana angusii,Notodontid Moths
Anhinga,Anhinga anhinga,Birds
Annexed Minute Rove Beetle,Atheta annexa,Other Beetles
Annstone,Perlesta puttmanni,Stoneflies
Anntiger Moth,Apantesis anna,Tiger Moths
Anoksmall Minnow Mayfly,Iswaeon anoka,Mayflies
Anomalous Flat-Headed Mayfly,Rhithrogena anomala,Mayflies
Aphrodite Fritillary,Argynnis aphrodite,Butterflies and Skippers
Aphrodite'S Flat-Headed Mayfly,Leucrocuta aphrodite,Mayflies
Apical Leafcutter Bee,Megachile apicalis,Leafcutter Bees
Appalachian Azure,Celastrina neglectamajor,Butterflies and Skippers
Appalachian Bomolocha,Hypena appalachiensis,Other Moths
Appalachian Brook Crayfish,Cambarus bartonii,Crayfishes
Appalachian Cottontail,Sylvilagus obscurus,Mammals
Appalachian Eyed Brown,Lethe appalachia,Butterflies and Skippers
Appalachian Forestfly,Amphinemura appalachia,Stoneflies
Appalachian Humpless Caddisfly,Brachycentrus appalachia,Caddisflies
Appalachian Jewelwing,Calopteryx angustipennis,Dragonflies and Damselflies
Appalachian Monkeyface,Theliderma sparsa,Freshwater Mussels
Appalachian Needlefly,Paraleuctra sara,Stoneflies
Appalachian Pillar Snail,Cochlicopa morseana,Terrestrial Snails
Appalachian Rhyacophilid Caddisfly,Rhyacophila appalachia,Caddisflies
Appalachian Roachfly,Peltoperla arcuata,Stoneflies
Appalachian Sallfly,Alloperla usa,Stoneflies
Appalachian Salmonfly,Pteronarcys proteus,Stoneflies
Appalachian Springfly,Isogenoides hansoni,Stoneflies
Appalachian Springsnail,Fontigens bottimeri,Freshwater Snails
Appalachian Stone,Hansonoperla appalachia,Stoneflies
Appalachian Thorn,Carychium clappi,Terrestrial Snails
Appalachian Tiger Beetle,Cicindela ancocisconensis,Tiger Beetles
Appalachian Tiger Swallowtail,Pterourus appalachiensis,Butterflies and Skippers
Appalachian Tigersnail,Anguispira mordax,Terrestrial Snails
Appalachian Valley Crangonyctid,Crangonyx antennatus,Amphipods
Appalachian Willowfly,Strophopteryx appalachia,Stoneflies
Appalachibellytooth,Gastrodonta fonticula,Terrestrial Snails
Appalachicolminute Moss Beetle,Hydraena appalachicola,Other Beetles
Appalachidarter,Percina gymnocephala,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Apple Sphinx Moth,Sphinx gordius,Sphinx Moths
Appointed Saddle-Case Caddisfly,Protoptila lega,Caddisflies
Aralishoot Borer Moth,Papaipema araliae,Papaipema Moths
Arched Hooktip Moth,Drepana arcuata,Other Moths
Arctic Tern,Sterna paradisaea,Birds
Arge Moth,Apantesis arge,Tiger Moths
Argus Northern Caddisfly,Hydatophylax argus,Caddisflies
Armed Microcaddisfly,Hydroptila armata,Caddisflies
Armed Snaggletooth Snail,Gastrocopta armifera,Terrestrial Snails
Armyworm Moth,Mythimna unipuncta,Other Moths
Arogos Skipper,Atrytone arogos,Butterflies and Skippers
Ash Borer Moth,Papaipema furcata,Papaipema Moths
Ash Gyro,Gyraulus parvus,Freshwater Snails
Ash Snowfly,Allocapnia zola,Stoneflies
Ash Sphinx,Manduca jasminearum,Sphinx Moths
Ashton Cuckoo Bumble Bee,Bombus bohemicus,Bumble Bees
Ashy Darter,Allohistium cinereum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Ashy Long-Horned Caddisfly,Oecetis cinerascens,Caddisflies
Asian Shaggy Digger,Anthophora villosula,Digger Bees
Asiatic Clam,Corbicula fluminea,Other Molluscs
Aster Borer Moth,Papaipema impecuniosa,Papaipema Moths
Asteroid Moth,Cucullia asteroides,Other Moths
Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,Amphibians
Atlantic Flat-Headed Mayfly,Cinygmula subaequalis,Mayflies
Atlantic Needlefish,Strongylura marina,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Atlantic Needlefly,Leuctra duplicata,Stoneflies
Atlantic Pigtoe,Fusconaia masoni,Freshwater Mussels
Atlantic Sallfly,Alloperla atlantica,Stoneflies
